opened_at,closed_at,pair,direction,conviction_score,entry_price,exit_price,quantity,realized_pnl,balance_after
2026-07-04T00:08:10.903Z,2026-07-04T01:08:30.375Z,XRPUSDT,short,37,1.14,1.14,761.209624,0.0761,9355.4403
2026-07-04T01:08:39.467Z,2026-07-04T02:09:01.080Z,XRPUSDT,short,48,1.14,1.13,986.513921,3.3541,9357.5877
2026-07-04T01:38:44.013Z,2026-07-04T02:39:01.160Z,ADAUSDT,short,38,0.18,0.18,5015.253058,-1.0031,9355.7003
2026-07-04T02:24:10.145Z,2026-07-04T03:24:31.025Z,XRPUSDT,short,63,1.13,1.14,1301.616233,-6.5081,9348.6730
2026-07-04T03:09:44.616Z,2026-07-04T04:09:59.788Z,ADAUSDT,short,37,0.18,0.18,4908.691330,-6.8722,9340.2724
2026-07-04T03:24:40.133Z,2026-07-04T04:24:59.541Z,XRPUSDT,short,55,1.14,1.14,1130.258102,-2.0345,9338.2379
2026-07-04T03:24:42.384Z,2026-07-04T04:24:59.669Z,DOGEUSDT,short,54,0.08,0.08,16387.050209,-5.7355,9332.5025
2026-07-04T04:25:08.648Z,2026-07-04T05:25:28.262Z,XRPUSDT,short,39,1.14,1.14,798.594867,0.3993,9331.7259
2026-07-04T04:40:04.164Z,2026-07-04T05:40:28.132Z,SOLUSDT,long,45,83.71,83.22,12.540855,-6.1325,9325.0055
2026-07-04T05:25:37.290Z,2026-07-04T06:25:58.580Z,XRPUSDT,short,42,1.14,1.14,860.406762,2.6673,9327.6728
2026-07-04T06:26:07.646Z,2026-07-04T07:26:28.184Z,XRPUSDT,short,59,1.14,1.14,1211.972989,0.0000,9325.9659
2026-07-04T06:56:32.601Z,2026-07-04T07:57:02.394Z,SOLUSDT,short,33,82.50,82.70,9.327186,-1.8654,9322.0722
2026-07-04T07:11:41.663Z,2026-07-04T08:12:03.232Z,ADAUSDT,short,30,0.18,0.18,3965.300008,1.1896,9323.2618
2026-07-04T07:26:37.205Z,2026-07-04T08:27:02.925Z,XRPUSDT,short,69,1.13,1.15,1418.007160,-16.5907,9306.6711
2026-07-04T07:26:39.456Z,2026-07-04T08:27:03.048Z,DOGEUSDT,short,76,0.08,0.08,23060.655104,-0.9224,9305.7487
2026-07-04T08:27:12.038Z,2026-07-04T09:27:42.255Z,XRPUSDT,short,34,1.15,1.14,689.976132,4.8988,9309.2377
2026-07-04T08:27:14.285Z,2026-07-04T09:27:42.378Z,DOGEUSDT,short,67,0.08,0.08,20276.224931,-0.2028,9309.0350
2026-07-04T09:27:51.376Z,2026-07-04T10:28:16.948Z,XRPUSDT,short,32,1.14,1.14,653.666987,-0.5883,9307.9998
2026-07-04T10:28:25.975Z,2026-07-04T11:28:46.333Z,XRPUSDT,short,59,1.14,1.14,1204.113294,3.0103,9309.4046
2026-07-04T10:28:28.213Z,2026-07-04T11:28:46.455Z,DOGEUSDT,short,56,0.08,0.08,16966.206412,-1.3573,9308.0473
2026-07-04T11:28:55.423Z,2026-07-04T12:29:19.746Z,XRPUSDT,short,63,1.14,1.15,1288.127094,-18.2914,9288.0526
2026-07-04T11:28:57.672Z,2026-07-04T12:29:19.879Z,DOGEUSDT,short,59,0.08,0.08,17854.171286,-1.4283,9286.6242
2026-07-04T12:29:28.868Z,2026-07-04T13:29:51.755Z,XRPUSDT,short,56,1.15,1.15,1128.778775,-1.5803,9283.3864
2026-07-04T12:29:31.110Z,2026-07-04T13:29:51.885Z,DOGEUSDT,short,33,0.08,0.08,9951.703604,-1.5923,9281.7941
